OUName,OUPath
"Spinnaker Traders","DC=SpinnakerTraders,DC=local"
"Groups","OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Users","OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Accounting","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Development","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Human Resources","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"IT","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Management","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Marketing & Communication","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Sales","OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Computers","OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Accounting","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Development","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Human Resources","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"IT","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Management","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Marketing & Communication","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
"Sales","OU=Computers,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"
